Wavelength(nm),Baseline,Boro125,Boro25,Boro5,Malico125,Malico25,Malico5,Tarta125,Tarta25,Tarta5
200,0.138634105,1.452200838,1.699642415,0.702597449,2.7405765,4,1.765839721,4,4,4
200.5,0.135863671,1.43386104,1.670818629,0.691191982,2.592994733,4,1.742478392,4,4,4
201,0.135066941,1.409970863,1.644137407,0.680528618,2.46964368,4,1.727595006,4,4,4
201.5,0.134566953,1.390324848,1.622504293,0.670933732,2.386075104,4,1.718740616,4,3.6125952,4
202,0.133763957,1.374352743,1.604729887,0.66264784,2.327991631,4,1.711036323,4,3.020551414,4
202.5,0.132761907,1.355783341,1.587489956,0.655751443,2.266011232,4,1.699527276,4,2.728120789,4
203,0.131419914,1.342842735,1.575382645,0.649598527,2.231976868,4,1.697436519,4,2.580280315,4
203.5,0.129671535,1.327450125,1.565033223,0.64406429,2.200661034,4,1.697408992,4,2.531355881,4
204,0.12802057,1.312940666,1.553915186,0.638703309,2.172637056,3.758338676,1.695161938,4,2.486850198,4
204.5,0.127200087,1.300129478,1.543554068,0.633482195,2.146064662,3.41437574,1.693111868,4,2.427849232,4
205,0.127651179,1.288621059,1.535547655,0.628460119,2.119116539,3.202431355,1.694372018,4,2.367204494,4
205.5,0.127922794,1.276855552,1.523690672,0.623410801,2.09551393,3.077622102,1.692154741,4,2.33795234,4
206,0.127867679,1.267004454,1.515296248,0.618207108,2.065735334,2.987336771,1.694850281,4,2.295084843,4
206.5,0.127646293,1.25785867,1.50602296,0.613027187,2.032908016,2.915125532,1.695405701,4,2.265211398,4
207,0.127105385,1.250191016,1.496706483,0.607720756,2.00848426,2.855194258,1.695244705,4,2.238117226,4
207.5,0.126191508,1.244188673,1.488344849,0.60214554,1.997266002,2.803897611,1.696758604,4,2.205517683,4
208,0.125282853,1.237335952,1.479288627,0.59635575,1.980287411,2.760236984,1.70004379,4,2.187972605,4
208.5,0.125315235,1.231294747,1.472537237,0.590290065,1.962924159,2.688575287,1.703282557,4,2.153222457,4
209,0.125702229,1.226203296,1.465631051,0.583830911,1.939827299,2.62653059,1.704521819,4,2.128515509,4
209.5,0.125908493,1.221951675,1.458271202,0.577268499,1.917316795,2.574220068,1.705756791,4,2.109255743,4
210,0.125760489,1.218179235,1.45091729,0.570636654,1.897996926,2.533995177,1.708608477,4,2.090678882,4
210.5,0.125680264,1.214214003,1.444920754,0.563459623,1.876269876,2.518750066,1.713387251,4,2.073410066,4
211,0.125534221,1.210168042,1.435954352,0.556188737,1.852744037,2.461846192,1.714528145,4,2.049297192,4
211.5,0.125205365,1.206268363,1.429048159,0.548618455,1.83312544,2.424350364,1.717176385,4,2.032186015,4
212,0.124876921,1.20298971,1.422592801,0.540908752,1.812711146,2.388181918,1.721935908,4,2.014945345,4
212.5,0.124748006,1.200160818,1.415589996,0.533090847,1.789432674,2.348106184,1.726996903,4,1.994196607,4
213,0.124992821,1.196995264,1.407922197,0.525067557,1.764435477,2.314101522,1.72865615,4,1.971334935,4
213.5,0.125160983,1.193604602,1.40051245,0.517103989,1.744583727,2.296736744,1.732679993,4,1.95634936,4
214,0.125192567,1.190497606,1.393946274,0.508788865,1.721685562,2.270912692,1.736132556,4,1.941935934,4
214.5,0.125194474,1.187311377,1.387563602,0.500333229,1.700499996,2.23303663,1.740609539,3.801349259,1.922504205,4
215,0.125202142,1.184178153,1.381220332,0.491916377,1.680431287,2.19481359,1.745064266,3.454773809,1.902402535,4
215.5,0.125201609,1.181396604,1.374976962,0.483660489,1.658125933,2.17296791,1.747538103,3.146371264,1.889890328,4
216,0.125101936,1.178058209,1.367939335,0.475314342,1.634225157,2.145112171,1.752364633,2.910620914,1.874166321,4
216.5,0.125151971,1.174799983,1.361136528,0.466895804,1.612270916,2.101496827,1.754798528,2.75937037,1.855899252,4
217,0.125318002,1.17208489,1.355191416,0.458482158,1.590827369,2.066710063,1.758204529,2.659903828,1.84047438,3.801126615
217.5,0.125531036,1.169411335,1.349457464,0.450146951,1.568939914,2.03857151,1.761511632,2.578998122,1.827570222,3.540459246
218,0.125700197,1.166180381,1.343163484,0.441955678,1.546204499,2.008607801,1.763260544,2.493232621,1.814368329,3.40976286
218.5,0.125699924,1.162875159,1.337023281,0.433957788,1.524109226,1.981485815,1.767101078,2.435751253,1.795455273,3.315315216
219,0.125796332,1.159921718,1.330925188,0.426173075,1.503439986,1.94795296,1.768281596,2.369221013,1.780568211,3.183606148
219.5,0.125882134,1.156616149,1.325992558,0.418589298,1.481483621,1.916190188,1.768945058,2.31493724,1.770832894,3.07393212
220,0.125980811,1.153181069,1.321341157,0.411172443,1.459993342,1.885431774,1.769387839,2.270564132,1.75992094,3.020106039
220.5,0.126105713,1.149932852,1.316106096,0.403893906,1.440020815,1.855339077,1.769264188,2.230928339,1.74493204,3.011770831
221,0.126184711,1.147002749,1.310427094,0.396776017,1.418744537,1.831008058,1.767284396,2.195473914,1.735500789,2.938555644
221.5,0.126214288,1.142895064,1.305491584,0.389911832,1.398072164,1.799347347,1.765220768,2.158640061,1.723705611,2.907379306
222,0.126254525,1.140077205,1.299629595,0.38327375,1.378478201,1.769546579,1.76310266,2.124675048,1.712141745,2.861153533
222.5,0.126268159,1.137350412,1.294133142,0.376775741,1.359183798,1.740750371,1.758882171,2.095749499,1.702195521,2.822354726
223,0.126246139,1.134026199,1.289407211,0.370377518,1.339864625,1.712086797,1.752301605,2.069806136,1.692979736,2.796408358
223.5,0.126232,1.130629359,1.284189426,0.364121818,1.321046522,1.683883128,1.745941476,2.038982143,1.680438962,2.754206824
224,0.126313677,1.126771677,1.279815708,0.35788408,1.301247319,1.658228748,1.739689464,2.014787719,1.675197933,2.736900588
224.5,0.126309545,1.122972363,1.275029145,0.352167561,1.283737455,1.631127242,1.730706257,1.989639037,1.666729888,2.706827295
225,0.126238398,1.119399146,1.270249007,0.346663633,1.26654052,1.604991146,1.720108247,1.967069433,1.657429498,2.683011277
225.5,0.126139244,1.115884532,1.265664973,0.34127697,1.249087187,1.579899205,1.708971865,1.947719185,1.649086717,2.665119414
226,0.126062155,1.112008139,1.261209377,0.336117789,1.232127399,1.553856253,1.698021894,1.929550664,1.642454255,2.636717941
226.5,0.125995999,1.108111986,1.256289406,0.331363769,1.215821987,1.526979144,1.682661101,1.912643249,1.632465357,2.625409859
227,0.125764456,1.104051498,1.252243359,0.32684534,1.19964759,1.504476697,1.666899522,1.896896833,1.625698553,2.614750933
227.5,0.12557576,1.099880253,1.248367941,0.322538829,1.184291939,1.481766193,1.64983752,1.88189161,1.618963156,2.596946551
228,0.125450738,1.095600175,1.244141971,0.318470828,1.169697437,1.45906097,1.631805477,1.867547538,1.611738606,2.578171211
228.5,0.125321942,1.091270282,1.239360064,0.314672255,1.155527317,1.438601455,1.613673109,1.853913969,1.604900066,2.568218991
229,0.125196007,1.087620042,1.235615814,0.311092811,1.142572311,1.419398876,1.595243204,1.840964359,1.59963379,2.547289087
229.5,0.125057562,1.083928113,1.23179009,0.307942763,1.130872084,1.400462454,1.576760878,1.828407176,1.595990219,2.537146801
230,0.124965982,1.080163358,1.228298164,0.304814902,1.119245844,1.382856301,1.557461032,1.818878939,1.59147315,2.536184865
230.5,0.124864774,1.076413426,1.225038453,0.301912619,1.108102668,1.366424953,1.537332957,1.810548808,1.586323364,2.535523505
231,0.124692335,1.072788231,1.221793512,0.299446872,1.098021717,1.350810213,1.516704639,1.801389022,1.581312182,2.526197985
231.5,0.124500792,1.069357307,1.218521796,0.296986572,1.088535245,1.336537126,1.496257378,1.794162667,1.576060546,2.507485141
232,0.124244543,1.065790931,1.215990803,0.294702518,1.080239806,1.323720802,1.476928998,1.785144078,1.573681556,2.498771823
232.5,0.124059637,1.062277744,1.212941413,0.292544659,1.07177599,1.311742884,1.456537556,1.775878243,1.57033118,2.497936168
233,0.123884663,1.058912132,1.209586974,0.290448719,1.06354218,1.29992403,1.435735249,1.76835228,1.566321874,2.496169472
233.5,0.123665274,1.055792396,1.206358641,0.288421958,1.055939156,1.288312034,1.415411824,1.762486139,1.562817884,2.488406058
