Radius (nm),Malico .125 Buena
0.0805303,0
0.102125,0
0.129511,0
0.164241,0
0.208283,0
0.264136,0
0.334967,0
0.424791,0
0.538703,0
0.683161,0
0.866357,0
1.09868,0
1.3933,0
1.76693,0
2.24074,0
2.84162,0
3.60363,0
4.56997,0
5.79545,0
7.34956,2.07617
9.32041,5.2478
11.8198,7.69605
14.9893,8.25251
19.0089,6.57713
24.1063,3.30152
30.5706,0.21651
38.7684,0
49.1645,0
62.3484,0
79.0677,0
100.27,0
127.159,2.84314
161.258,8.7524
204.5,14.3334
259.339,16.8053
328.883,14.6317
417.076,8.21707
528.919,1.04921
670.754,0
850.623,0
1078.72,0
1367.99,0
1734.84,0
2200.05,0
2790.01,0
3538.18,0
4486.97,0
5690.2,0
7216.07,0
9151.13,0
11605.1,0
14717.1,0
18663.6,0
23668.5,0
30015.4,0
38064.3,0
48271.6,0
61216,0
77631.7,0
98449.3,0
