Radius (nm),Malico .25 Repeticion
0.0805335,0
0.102129,0
0.129516,0
0.164247,0
0.208292,0
0.264147,0
0.33498,0
0.424808,0
0.538725,0
0.683189,0
0.866392,0
1.09872,0
1.39336,0
1.767,0
2.24083,0
2.84173,0
3.60377,0
4.57016,0
5.79569,0
7.34985,0
9.32078,0.291816
11.8202,1.52879
14.9899,3.15041
19.0096,4.76026
24.1072,6.14113
30.5718,7.18455
38.7699,7.84926
49.1665,8.13909
62.3509,8.08905
79.0709,7.75449
100.274,7.20186
127.164,6.50083
161.264,5.71782
204.509,4.91122
259.35,4.12823
328.896,3.40349
417.093,2.75923
528.941,2.20681
670.781,1.74898
850.657,1.38239
1078.77,1.09968
1368.05,0.891135
1734.91,0.745921
2200.14,0.652916
2790.12,0.601158
3538.32,0.580038
4487.15,0.579437
5690.43,0
7216.37,0
9151.5,0
11605.6,0
14717.7,0
18664.4,0
23669.4,0
30016.6,0
38065.8,0
48273.5,0
61218.5,0
77634.8,0
98453.3,0
