Radius (nm),Malico.25
0.0805335,0
0.102129,0
0.129516,0
0.164247,0
0.208292,0
0.264147,0
0.33498,0
0.424809,0
0.538725,0
0.683189,0
0.866392,0
1.09872,0
1.39336,0
1.767,0
2.24083,0
2.84173,0
3.60377,0
4.57016,0
5.79569,0
7.34985,0
9.32078,0
11.8202,0.750924
14.9899,2.58393
19.0096,4.61019
24.1072,6.31098
30.5718,7.476
38.7699,8.06909
49.1665,8.14732
62.3509,7.81427
79.0709,7.19064
100.274,6.39474
127.164,5.52988
161.264,4.67726
204.509,3.89338
259.35,3.2111
328.897,2.6433
417.093,2.18796
528.941,1.83366
670.781,1.5645
850.657,1.36357
1078.77,1.21512
1368.05,1.10546
1734.91,1.02335
2200.14,0.959917
2790.12,0.908433
3538.32,0.863981
4487.15,0.823052
5690.43,0.783238
7216.37,0.742997
9151.5,0.701496
11605.6,0.658479
14717.7,0.614121
18664.4,0.568894
23669.4,0.523426
30016.6,0.478398
38065.8,0.434472
48273.5,0.392259
61218.5,0.35234
77634.8,0.315381
98453.3,0.282487
124854,0
